source_fragment_id,source_document_id,fragment_type,fragment_order,text_excerpt,normalized_text,selector_hint,notes
SF0020,SD0012,title,1,"Comunicazione, media, tecnologie ~ UNIPI",comunicazione media tecnologie unipi,//title,raw snapshot title
SF0021,SD0012,h1,2,"Comunicazione, media, tecnologie",comunicazione media tecnologie,//h1[1],raw snapshot first h1
SF0022,SD0013,title,1,Università di Firenze,università di firenze,//title,raw snapshot title
SF0023,SD0013,meta_description,2,"L'Università di Firenze è una delle più grandi organizzazioni per la ricerca e la formazione superiore in Italia, ha sedi in vari punti della città e anche oltre l'area urbana. Nel 2024 festeggia il centenario dalla sua istituzione, anche se le sue origini sono più antiche e risalgono allo Studium Generale che la repubblica fiorentina volle far nascere nel 1321.","l'università di firenze è una delle più grandi organizzazioni per la ricerca e la formazione superiore in italia, ha sedi in vari punti della città e anche oltre l'area urbana. nel 2024 festeggia il centenario dalla sua istituzione, anche se le sue origini sono più antiche e risalgono allo studium generale che la repubblica fiorentina volle far nascere nel 1321.",//meta[@name='description'],raw snapshot meta description
SF0024,SD0013,h1,3,Home,home,//h1[1],raw snapshot first h1
SF0025,SD0014,title,1,Pagina non trovata | Università di Firenze,pagina non trovata università di firenze,//title,404 page title collected from master hub URL
SF0026,SD0014,h1,2,Pagina non trovata,pagina non trovata,//h1[1],404 page first h1
SF0027,SD0015,title,1,Scienze Umanistiche per la Comunicazione | Università di Firenze,scienze umanistiche per la comunicazione università di firenze,//title,raw snapshot title
SF0028,SD0015,h1,2,Scienze Umanistiche per la Comunicazione,scienze umanistiche per la comunicazione,//h1[1],raw snapshot first h1
SF0029,SD0016,title,1,"[B385] PRATICHE, LINGUAGGI E CULTURE DELLA COMUNICAZIONE | Università di Firenze",b385 pratiche linguaggi e culture della comunicazione università di firenze,//title,raw snapshot title
SF0030,SD0016,h1,2,"PRATICHE, LINGUAGGI E CULTURE DELLA COMUNICAZIONE",pratiche linguaggi e culture della comunicazione,//h1[1],raw snapshot first h1
SF0031,SD0017,title,1,Università degli Studi di Siena,università degli studi di siena,//title,raw snapshot title
SF0032,SD0017,h1,2,Università degli Studi di Siena,università degli studi di siena,//h1[1],raw snapshot first h1
SF0033,SD0018,title,1,Didattica | Università degli Studi di Siena,didattica università degli studi di siena,//title,raw snapshot title
SF0034,SD0018,h1,2,Didattica,didattica,//h1[1],raw snapshot first h1
SF0035,SD0019,title,1,SCIENZE DELLA COMUNICAZIONE |,scienze della comunicazione,//title,raw snapshot title
SF0036,SD0019,h1,2,SCIENZE DELLA COMUNICAZIONE,scienze della comunicazione,//h1[1],raw snapshot first h1
SF0037,SD0020,title,1,[D003] STRATEGIE E TECNICHE DELLA COMUNICAZIONE | Università degli Studi di Siena,d003 strategie e tecniche della comunicazione università degli studi di siena,//title,raw snapshot title
SF0038,SD0020,h1,2,[D003] STRATEGIE E TECNICHE DELLA COMUNICAZIONE,d003 strategie e tecniche della comunicazione,//h1[1],raw snapshot first h1
SF0039,SD0021,title,1,Corsi di laurea | Università di Firenze,corsi di laurea università di firenze,//title,raw snapshot title
SF0040,SD0021,h1,2,Corsi di laurea,corsi di laurea,//h1[1],raw snapshot first h1
SF0041,SD0022,title,1,L'Università di Torino,l'università di torino,//title,raw snapshot title
SF0042,SD0022,meta_description,2,"Dal 1404 a oggi offre percorsi formativi di qualità in molteplici ambiti disciplinari, una solida rete internazionale e un forte legame con il territorio.","dal 1404 a oggi offre percorsi formativi di qualità in molteplici ambiti disciplinari, una solida rete internazionale e un forte legame con il territorio.",//meta[@name='description'],raw snapshot meta description
SF0043,SD0022,h1,3,Home page,home page,//h1[1],raw snapshot first h1
SF0044,SD0023,title,1,Didattica | Università di Torino,didattica università di torino,//title,raw snapshot title
SF0045,SD0023,meta_description,2,"Scegli il tuo percorso di studi tra corsi di laurea, master, dottorati, scuole di specializzazione e altre opportunità formative per accrescere le tue competenze e costruire il tuo futuro","scegli il tuo percorso di studi tra corsi di laurea, master, dottorati, scuole di specializzazione e altre opportunità formative per accrescere le tue competenze e costruire il tuo futuro",//meta[@name='description'],raw snapshot meta description
SF0046,SD0023,h1,3,Didattica,didattica,//h1[1],raw snapshot first h1
SF0047,SD0024,title,1,[2705L31] SCIENZE DELLA COMUNICAZIONE | Università di Torino,2705l31 scienze della comunicazione università di torino,//title,raw snapshot title
SF0048,SD0024,h1,2,SCIENZE DELLA COMUNICAZIONE,scienze della comunicazione,//h1[1],raw snapshot first h1
SF0049,SD0025,title,1,[0507M21] COMUNICAZIONE E CULTURE DEI MEDIA | Università di Torino,0507m21 comunicazione e culture dei media università di torino,//title,raw snapshot title
SF0050,SD0025,h1,2,COMUNICAZIONE E CULTURE DEI MEDIA,comunicazione e culture dei media,//h1[1],raw snapshot first h1
SF0051,SD0026,title,1,Università degli Studi di Genova | UniGe,università degli studi di genova unige,//title,raw snapshot title
SF0052,SD0026,h1,2,"Arrivando a Genova vedrai una città imperiosa, coronata da aspre montagne, superba per uomini e per mura, signora del mare.","arrivando a genova vedrai una città imperiosa, coronata da aspre montagne, superba per uomini e per mura, signora del mare.",//h1[1],raw snapshot first h1
SF0053,SD0027,title,1,Offerta formativa | Corsi di Studio UniGe,offerta formativa corsi di studio unige,//title,raw snapshot title; no h1 or meta description detected
SF0054,SD0028,title,1,"CORSO DI LAUREA TRIENNALE (D.M. 1648/2023) in MEDIA, COMUNICAZIONE E SOCIETÀ | UniGe | Università di Genova | Corsi di Studio UniGe","corso di laurea triennale (d.m. 1648/2023) in media, comunicazione e società unige università di genova corsi di studio unige",//title,raw snapshot title
SF0055,SD0028,h1,2,Panoramica,panoramica,//h1[1],raw snapshot first h1; course name is mainly exposed in the title
SF0056,SD0029,title,1,CORSO DI LAUREA MAGISTRALE (D.M. 1649/2023) in DIGITAL HUMANITIES - INTERACTIVE SYSTEMS AND DIGITAL MEDIA | UniGe | Università di Genova | Corsi di Studio UniGe,corso di laurea magistrale (d.m. 1649/2023) in digital humanities - interactive systems and digital media unige università di genova corsi di studio unige,//title,raw snapshot title
SF0057,SD0029,h1,2,Panoramica,panoramica,//h1[1],raw snapshot first h1; course name is mainly exposed in the title
SF0058,SD0030,title,1,Università degli Studi di Milano-Bicocca,università degli studi di milano-bicocca,//title,raw snapshot title; no h1 or meta description detected
SF0059,SD0031,title,1,STUDIARE | Università degli Studi di Milano-Bicocca,studiare università degli studi di milano-bicocca,//title,raw snapshot title
SF0060,SD0031,h1,2,STUDIARE,studiare,//h1[1],raw snapshot first h1
SF0061,SD0032,title,1,Comunicazione interculturale | Università degli Studi di Milano-Bicocca,comunicazione interculturale università degli studi di milano-bicocca,//title,raw snapshot title
SF0062,SD0032,h1,2,Comunicazione interculturale,comunicazione interculturale,//h1[1],raw snapshot first h1
SF0063,SD0033,title,1,Teoria e tecnologia della comunicazione | Università degli Studi di Milano-Bicocca,teoria e tecnologia della comunicazione università degli studi di milano-bicocca,//title,raw snapshot title
SF0064,SD0033,h1,2,Teoria e tecnologia della comunicazione,teoria e tecnologia della comunicazione,//h1[1],raw snapshot first h1
SF0065,SD0034,title,1,home | Università degli Studi di Milano Statale,home università degli studi di milano statale,//title,raw snapshot title
SF0066,SD0034,meta_description,2,"Conosciuta anche come La Statale, l’Università degli Studi di Milano è una Università pubblica ai primi posti in Italia per l’impegno nella ricerca scientifica con un livello di eccellenza della ricerca riconosciuto dai principali ranking internazionali. Offre più di 140 corsi di Laurea, oltre 30 corsi di Dottorato e oltre 60 Scuole di specializzazione. La vocazione interdisciplinare ne fa un ambiente stimolante per studiare, lavorare e costruire il proprio futuro in una città viva di cultura, spettacolo e attività produttive","conosciuta anche come la statale, l’università degli studi di milano è una università pubblica ai primi posti in italia per l’impegno nella ricerca scientifica con un livello di eccellenza della ricerca riconosciuto dai principali ranking internazionali. offre più di 140 corsi di laurea, oltre 30 corsi di dottorato e oltre 60 scuole di specializzazione. la vocazione interdisciplinare ne fa un ambiente stimolante per studiare, lavorare e costruire il proprio futuro in una città viva di cultura, spettacolo e attività produttive",//meta[@name='description'],raw snapshot meta description
SF0067,SD0034,h1,3,home,home,//h1[1],raw snapshot first h1
SF0068,SD0035,title,1,Corsi | Università degli Studi di Milano Statale,corsi università degli studi di milano statale,//title,raw snapshot title
SF0069,SD0035,h1,2,Corsi,corsi,//h1[1],raw snapshot first h1
SF0070,SD0036,title,1,Comunicazione e società (CES) | Università degli Studi di Milano Statale,comunicazione e società ces università degli studi di milano statale,//title,raw snapshot title
SF0071,SD0036,h1,2,Comunicazione e società (CES),comunicazione e società ces,//h1[1],raw snapshot first h1
SF0072,SD0037,title,1,"Editoria, culture della comunicazione e della moda | Università degli Studi di Milano Statale","editoria, culture della comunicazione e della moda università degli studi di milano statale",//title,raw snapshot title
SF0073,SD0037,h1,2,"Editoria, culture della comunicazione e della moda","editoria, culture della comunicazione e della moda",//h1[1],raw snapshot first h1
SF0074,SD0038,title,1,Home page | Università degli studi dell'Insubria,home page università degli studi dell'insubria,//title,raw snapshot title; no h1 or meta description detected
SF0075,SD0039,title,1,Pagina non trovata | Università degli studi dell'Insubria,pagina non trovata università degli studi dell'insubria,//title,404 page title collected from master hub URL
SF0076,SD0039,h1,2,Pagina non trovata,pagina non trovata,//h1[1],404 page first h1
SF0077,SD0040,title,1,[SU02] SCIENZE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,su02 scienze della comunicazione università degli studi dell'insubria,//title,raw snapshot title
SF0078,SD0040,h1,2,SCIENZE DELLA COMUNICAZIONE,scienze della comunicazione,//h1[1],raw snapshot first h1
SF0079,SD0041,title,1,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,su03 scienze e tecniche della comunicazione università degli studi dell'insubria,//title,raw snapshot title
SF0080,SD0041,h1,2,SCIENZE E TECNICHE DELLA COMUNICAZIONE,scienze e tecniche della comunicazione,//h1[1],raw snapshot first h1
SF0081,SD0042,title,1,UNISA | Home,unisa home,//title,raw snapshot title
SF0082,SD0042,meta_description,2,Università degli Studi di Salerno - Via Giovanni Paolo II. 132 - 84084 Fisciano (SA),università degli studi di salerno - via giovanni paolo ii. 132 - 84084 fisciano (sa),//meta[@name='description'],raw snapshot meta description
SF0083,SD0042,h1,3,UNISA | Home,unisa home,//h1[1],raw snapshot first h1
SF0084,SD0043,title,1,Didattica | Corsi di Laurea e Laurea Magistrale,didattica corsi di laurea e laurea magistrale,//title,raw snapshot title
SF0085,SD0043,meta_description,2,I corsi di laurea e di laurea magistrale ad UNISA,i corsi di laurea e di laurea magistrale ad unisa,//meta[@name='description'],raw snapshot meta description
SF0086,SD0043,h1,3,Didattica | Corsi di Laurea e Laurea Magistrale,didattica corsi di laurea e laurea magistrale,//h1[1],raw snapshot first h1
SF0087,SD0044,title,1,Scienze della Comunicazione | Home,scienze della comunicazione home,//title,raw snapshot title
SF0088,SD0044,h1,2,Scienze della Comunicazione,scienze della comunicazione,//h1[1],raw snapshot first h1
SF0089,SD0045,title,1,Corporate Communication e Media | Home,corporate communication e media home,//title,raw snapshot title
SF0090,SD0045,h1,2,"Corporate Communication, Marketing Innovation e Media Digitali(Corporate Communication e Media)","corporate communication, marketing innovation e media digitali(corporate communication e media)",//h1[1],raw snapshot first h1
SF0091,SD0046,title,1,La nostra didattica | Università degli studi dell'Insubria,la nostra didattica università degli studi dell'insubria,//title,raw snapshot title
SF0092,SD0046,h1,2,La nostra didattica,la nostra didattica,//h1[1],raw snapshot first h1
SF0093,SD0047,title,1,Homepage - Università Roma Tre,homepage - università roma tre,//title,raw snapshot title
SF0094,SD0047,h1,2,Università Roma Tre,università roma tre,//h1[1],raw snapshot first h1
SF0095,SD0048,title,1,Studiare a Roma Tre - Università Roma Tre,studiare a roma tre - università roma tre,//title,raw snapshot title
SF0096,SD0048,h1,2,Studiare a Roma Tre,studiare a roma tre,//h1[1],raw snapshot first h1
SF0097,SD0049,title,1,Scienze della Comunicazione - Università Roma Tre,scienze della comunicazione - università roma tre,//title,raw snapshot title
SF0098,SD0049,meta_description,2,Il Corso di Laurea triennale in Scienze della Comunicazione propone un percorso formativo volto a fornire alle studentesse e agli…,il corso di laurea triennale in scienze della comunicazione propone un percorso formativo volto a fornire alle studentesse e agli…,//meta[@name='description'],raw snapshot meta description
SF0099,SD0049,h1,3,Scienze della Comunicazione,scienze della comunicazione,//h1[1],raw snapshot first h1
SF0100,SD0050,title,1,Scienze Cognitive della Comunicazione e dell'Azione - Università Roma Tre,scienze cognitive della comunicazione e dell'azione - università roma tre,//title,raw snapshot title
SF0101,SD0050,meta_description,2,La scienza cognitiva si occupa dello studio dei processi cognitivi intesi come elaborazioni di informazione da parte di un sistema…,la scienza cognitiva si occupa dello studio dei processi cognitivi intesi come elaborazioni di informazione da parte di un sistema…,//meta[@name='description'],raw snapshot meta description
SF0102,SD0050,h1,3,Scienze Cognitive della Comunicazione e dell'Azione,scienze cognitive della comunicazione e dell'azione,//h1[1],raw snapshot first h1
SF0103,SD0051,title,1,Università degli Studi di Palermo,università degli studi di palermo,//title,raw snapshot title
SF0104,SD0051,meta_description,2,"L'Università degli Studi di Palermo, fondata nel 1806, con i suoi oltre 40000 iscritti è uno degli 11 mega Atenei italiani. La sua offerta formativa comprende più di 130 corsi di studio, tra lauree triennali, magistrali e magistrali a ciclo unico","l'università degli studi di palermo, fondata nel 1806, con i suoi oltre 40000 iscritti è uno degli 11 mega atenei italiani. la sua offerta formativa comprende più di 130 corsi di studio, tra lauree triennali, magistrali e magistrali a ciclo unico",//meta[@name='description'],raw snapshot meta description
SF0105,SD0052,title,1,| Università degli Studi di Palermo,università degli studi di palermo,//title,raw snapshot title
SF0106,SD0053,title,1,2447 - SCIENZE DELLA COMUNICAZIONE | Università degli Studi di Palermo,2447 - scienze della comunicazione università degli studi di palermo,//title,raw snapshot title
SF0107,SD0053,meta_description,2,2447 - SCIENZE DELLA COMUNICAZIONE,2447 - scienze della comunicazione,//meta[@name='description'],raw snapshot meta description
SF0108,SD0054,title,1,2215 - COMUNICAZIONE DEL PATRIMONIO CULTURALE | Università degli Studi di Palermo,2215 - comunicazione del patrimonio culturale università degli studi di palermo,//title,raw snapshot title
SF0109,SD0054,meta_description,2,2215 - COMUNICAZIONE DEL PATRIMONIO CULTURALE,2215 - comunicazione del patrimonio culturale,//meta[@name='description'],raw snapshot meta description
SF0110,SD0055,title,1,Università per Stranieri di Perugia | Ambasciatrice dell'Italia nel mondo,università per stranieri di perugia ambasciatrice dell'italia nel mondo,//title,raw snapshot title
SF0111,SD0055,meta_description,2,"L'Università per Stranieri di Perugia è la più antica e prestigiosa istituzione italiana impegnata nell'attività di insegnamento, ricerca e diffusione della lingua e della civiltà d'Italia in tutte le loro espressioni. Oltre ai Corsi di Lingua e Cultura Italiana sono attivi presso l'Ateneo Corsi di Laurea, Laurea Magistrale e Master.","l'università per stranieri di perugia è la più antica e prestigiosa istituzione italiana impegnata nell'attività di insegnamento, ricerca e diffusione della lingua e della civiltà d'italia in tutte le loro espressioni. oltre ai corsi di lingua e cultura italiana sono attivi presso l'ateneo corsi di laurea, laurea magistrale e master.",//meta[@name='description'],raw snapshot meta description
SF0112,SD0055,h1,3,Università per Stranieri di Perugia,università per stranieri di perugia,//h1[1],raw snapshot first h1
SF0113,SD0056,title,1,Offerta formativa,offerta formativa,//title,raw snapshot title
SF0114,SD0056,h1,2,Offerta formativa,offerta formativa,//h1[1],raw snapshot first h1
SF0115,SD0057,title,1,Corso di laurea in Comunicazione internazionale e pubblicitaria (ComIP),corso di laurea in comunicazione internazionale e pubblicitaria (comip),//title,raw snapshot title
SF0116,SD0057,h1,2,Corso di laurea in Comunicazione internazionale e pubblicitaria (ComIP),corso di laurea in comunicazione internazionale e pubblicitaria (comip),//h1[1],raw snapshot first h1
SF0117,SD0058,title,1,"Corso di laurea magistrale in Comunicazione pubblicitaria, storytelling e cultura d'immagine (ComPSI)","corso di laurea magistrale in comunicazione pubblicitaria, storytelling e cultura d'immagine (compsi)",//title,raw snapshot title
SF0118,SD0058,h1,2,"Corso di laurea magistrale in Comunicazione pubblicitaria, storytelling e cultura d'immagine (ComPSI)","corso di laurea magistrale in comunicazione pubblicitaria, storytelling e cultura d'immagine (compsi)",//h1[1],raw snapshot first h1
SF0119,SD0059,title,1,Offerta formativa - Università Roma Tre,offerta formativa - università roma tre,//title,raw snapshot title
SF0120,SD0059,h1,2,Offerta formativa,offerta formativa,//h1[1],raw snapshot first h1
SF0121,SD0060,title,1,Offerta Formativa | Didattica | Università degli Studi di Palermo,offerta formativa didattica università degli studi di palermo,//title,raw snapshot title
SF0122,SD0060,meta_description,2,Offerta Formativa,offerta formativa,//meta[@name='description'],raw snapshot meta description
SF0123,SD0061,title,1,Università degli Studi di Urbino Carlo Bo,università degli studi di urbino carlo bo,//title,raw snapshot title
SF0124,SD0061,meta_description,2,"L'Università di Urbino Carlo Bo è un ateneo ricco di storia e di una grande tradizione del sapere, impegnata da sempre nella ricerca e al contempo nell'innovazione. Con oltre 500 anni di storia e 15mila studenti, produce conoscenza in molti ambiti di studio. Studia con noi!","l'università di urbino carlo bo è un ateneo ricco di storia e di una grande tradizione del sapere, impegnata da sempre nella ricerca e al contempo nell'innovazione. con oltre 500 anni di storia e 15mila studenti, produce conoscenza in molti ambiti di studio. studia con noi!",//meta[@name='description'],raw snapshot meta description
SF0125,SD0062,title,1,Università degli Studi di Urbino Carlo Bo,università degli studi di urbino carlo bo,//title,raw snapshot title
SF0126,SD0062,meta_description,2,"L'Università di Urbino Carlo Bo è un ateneo ricco di storia e di una grande tradizione del sapere, impegnata da sempre nella ricerca e al contempo nell'innovazione. Con oltre 500 anni di storia e 15mila studenti, produce conoscenza in molti ambiti di studio. Studia con noi!","l'università di urbino carlo bo è un ateneo ricco di storia e di una grande tradizione del sapere, impegnata da sempre nella ricerca e al contempo nell'innovazione. con oltre 500 anni di storia e 15mila studenti, produce conoscenza in molti ambiti di studio. studia con noi!",//meta[@name='description'],raw snapshot meta description
SF0127,SD0062,h1,3,Pagina non trovata / Errore 404,pagina non trovata / errore 404,//h1[1],raw snapshot first h1
SF0128,SD0063,title,1,"INFORMAZIONE, MEDIA, PUBBLICITÀ - A.A. 2025/2026 - LAUREA","informazione, media, pubblicità - a.a. 2025/2026 - laurea",//title,raw snapshot title
SF0129,SD0063,meta_description,2,A.A. 2025/2026 - Corso ad accesso libero - Puoi immatricolarti dal 06/05/2025 al 13/10/2025,a.a. 2025/2026 - corso ad accesso libero - puoi immatricolarti dal 06/05/2025 al 13/10/2025,//meta[@name='description'],raw snapshot meta description
SF0130,SD0063,h1,3,"Informazione, Media, Pubblicità","informazione, media, pubblicità",//h1[1],raw snapshot first h1
SF0131,SD0064,title,1,COMUNICAZIONE DIGITALE PER LA CULTURA - A.A. 2025/2026 - LAUREA MAGISTRALE,comunicazione digitale per la cultura - a.a. 2025/2026 - laurea magistrale,//title,raw snapshot title
SF0132,SD0064,meta_description,2,A.A. 2025/2026 - Corso ad accesso libero - Puoi iscriverti dal 06/05/2025 al 13/11/2025,a.a. 2025/2026 - corso ad accesso libero - puoi iscriverti dal 06/05/2025 al 13/11/2025,//meta[@name='description'],raw snapshot meta description
SF0133,SD0064,h1,3,Comunicazione Digitale per la Cultura,comunicazione digitale per la cultura,//h1[1],raw snapshot first h1
SF0134,SD0065,title,1,International Telematic University UNINETTUNO: Online Degree,international telematic university uninettuno: online degree,//title,raw snapshot title
SF0135,SD0065,meta_description,2,L'unica Università Telematica Italiana valutata positivamente e senza riserve dal CNVSU.,l'unica università telematica italiana valutata positivamente e senza riserve dal cnvsu.,//meta[@name='description'],raw snapshot meta description
SF0136,SD0066,title,1,Laurea in Scienze della Comunicazione On Line: la Facoltà Telematica,laurea in scienze della comunicazione on line: la facoltà telematica,//title,raw snapshot title
SF0137,SD0066,meta_description,2,Trova nella Facoltà di Scienze della Comunicazione online di Uninettuno la tua laurea in scienze della comunicazione telematica e i corsi a distanza.,trova nella facoltà di scienze della comunicazione online di uninettuno la tua laurea in scienze della comunicazione telematica e i corsi a distanza.,//meta[@name='description'],raw snapshot meta description
SF0138,SD0066,h1,3,Facoltà di Scienze della Comunicazione online Uninettuno,facoltà di scienze della comunicazione online uninettuno,//h1[1],raw snapshot first h1
SF0139,SD0067,title,1,Indirizzo: Comunicazione digitale d'impresa,indirizzo: comunicazione digitale d'impresa,//title,raw snapshot title
SF0140,SD0067,meta_description,2,L'unica Università Telematica Italiana valutata positivamente e senza riserve dal CNVSU.,l'unica università telematica italiana valutata positivamente e senza riserve dal cnvsu.,//meta[@name='description'],raw snapshot meta description
SF0141,SD0067,h1,3,Scienze della Comunicazione (Anno Accademico 2025/2026) - Comunicazione digitale d'impresa,scienze della comunicazione (anno accademico 2025/2026) - comunicazione digitale d'impresa,//h1[1],raw snapshot first h1
SF0142,SD0068,title,1,"Culture, linguaggi e strategie per la comunicazione nell'era digitale","culture, linguaggi e strategie per la comunicazione nell'era digitale",//title,raw snapshot title
SF0143,SD0068,meta_description,2,L'unica Università Telematica Italiana valutata positivamente e senza riserve dal CNVSU.,l'unica università telematica italiana valutata positivamente e senza riserve dal cnvsu.,//meta[@name='description'],raw snapshot meta description
SF0144,SD0069,title,1,Portale istituzionale - Università della Calabria,portale istituzionale - università della calabria,//title,raw snapshot title
SF0145,SD0069,meta_description,2,"Il Campus per eccellenza che cresce con il territorio ed è capace di creare prospettive di crescita culturale, sociale ed economica per i propri studenti.","il campus per eccellenza che cresce con il territorio ed è capace di creare prospettive di crescita culturale, sociale ed economica per i propri studenti.",//meta[@name='description'],raw snapshot meta description
SF0146,SD0069,h1,3,Scopri in pochi passi,scopri in pochi passi,//h1[1],raw snapshot first h1
SF0147,SD0070,title,1,Offerta Formativa - Università della Calabria,offerta formativa - università della calabria,//title,raw snapshot title
SF0148,SD0070,meta_description,2,Sito istituzionale dell'Università della Calabria,sito istituzionale dell'università della calabria,//meta[@name='description'],raw snapshot meta description
SF0149,SD0070,h1,3,Offerta Formativa,offerta formativa,//h1[1],raw snapshot first h1
SF0150,SD0071,title,1,Il Corso - COMUNICAZIONE E DAMS - Corsi di Laurea,il corso - comunicazione e dams - corsi di laurea,//title,raw snapshot title
SF0151,SD0071,meta_description,2,Sito istituzionale dell'Università della Calabria,sito istituzionale dell'università della calabria,//meta[@name='description'],raw snapshot meta description
SF0152,SD0072,title,1,LINGUAGGI DELLA COMUNICAZIONE E DELLO SPETTACOLO - Corsi di Laurea,linguaggi della comunicazione e dello spettacolo - corsi di laurea,//title,raw snapshot title
SF0153,SD0072,meta_description,2,Sito istituzionale dell'Università della Calabria,sito istituzionale dell'università della calabria,//meta[@name='description'],raw snapshot meta description
SF0154,SD0073,title,1,Corsi di laurea - Università di Urbino,corsi di laurea - università di urbino,//title,raw snapshot title
SF0155,SD0073,meta_description,2,"Elenco completo dei corsi di laurea attivati nell'anno accademico presso l'Università degli Studi di Urbino. Obiettivi formativi, prospettive e didattica.","elenco completo dei corsi di laurea attivati nell'anno accademico presso l'università degli studi di urbino. obiettivi formativi, prospettive e didattica.",//meta[@name='description'],raw snapshot meta description
SF0156,SD0073,h1,3,Lauree,lauree,//h1[1],raw snapshot first h1
SF0157,SD0074,title,1,Home - Unina,home - unina,//title,raw snapshot title
SF0158,SD0074,meta_description,2,pattern library e styleguide per Unina,pattern library e styleguide per unina,//meta[@name='description'],raw snapshot meta description
SF0159,SD0074,h1,3,L'Università Federico II offre molteplici percorsi di studio in tredici aree didattiche,l'università federico ii offre molteplici percorsi di studio in tredici aree didattiche,//h1[1],raw snapshot first h1
SF0160,SD0076,title,1,Corsi di Studio | Unina.it,corsi di studio unina.it,//title,raw snapshot title
SF0161,SD0077,title,1,Corsi di Studio | Unina.it,corsi di studio unina.it,//title,raw snapshot title
SF0162,SD0078,title,1,Università degli studi di Bergamo | UniBg,università degli studi di bergamo unibg,//title,raw snapshot title
SF0163,SD0078,meta_description,2,"L'Università degli studi di Bergamo è una università statale italiana fondata nel 1968. 42 corsi di laurea, tra triennali e magistrali, 9 corsi di laurea magistrale in lingua inglese. 8 Dipartimenti. Tasso di occupazione a 1 anno dalla laurea 77,9%, Tasso di occupazione a 5 anni dalla laurea 92,4%.","l'università degli studi di bergamo è una università statale italiana fondata nel 1968. 42 corsi di laurea, tra triennali e magistrali, 9 corsi di laurea magistrale in lingua inglese. 8 dipartimenti. tasso di occupazione a 1 anno dalla laurea 77,9%, tasso di occupazione a 5 anni dalla laurea 92,4%.",//meta[@name='description'],raw snapshot meta description
SF0164,SD0079,title,1,I corsi | Università degli studi di Bergamo,i corsi università degli studi di bergamo,//title,raw snapshot title
SF0165,SD0079,h1,2,I corsi,i corsi,//h1[1],raw snapshot first h1
SF0166,SD0080,title,1,[92-R] SCIENZE DELLA COMUNICAZIONE | Università degli studi di Bergamo,[92-r] scienze della comunicazione università degli studi di bergamo,//title,raw snapshot title
SF0167,SD0080,h1,2,SCIENZE DELLA COMUNICAZIONE,scienze della comunicazione,//h1[1],raw snapshot first h1
